Period from,Period to,Agile Import price (p/kWh),Agile Export price (p/kWh)
01/11/2022 00:00,01/11/2022 00:30,12.61,6.56
01/11/2022 00:30,01/11/2022 01:00,18.48,9.02
01/11/2022 01:00,01/11/2022 01:30,18.04,8.84
01/11/2022 01:30,01/11/2022 02:00,13.48,6.92
01/11/2022 02:00,01/11/2022 02:30,12.31,6.43
01/11/2022 02:30,01/11/2022 03:00,9.72,5.34
01/11/2022 03:00,01/11/2022 03:30,12.40,6.47
01/11/2022 03:30,01/11/2022 04:00,9.91,5.42
01/11/2022 04:00,01/11/2022 04:30,12.45,6.49
01/11/2022 04:30,01/11/2022 05:00,10.81,5.80
01/11/2022 05:00,01/11/2022 05:30,12.15,6.36
01/11/2022 05:30,01/11/2022 06:00,14.80,7.48
01/11/2022 06:00,01/11/2022 06:30,17.65,8.67
01/11/2022 06:30,01/11/2022 07:00,19.66,9.51
01/11/2022 07:00,01/11/2022 07:30,19.06,9.26
01/11/2022 07:30,01/11/2022 08:00,22.22,10.59
01/11/2022 08:00,01/11/2022 08:30,21.00,10.08
01/11/2022 08:30,01/11/2022 09:00,22.64,10.77
01/11/2022 09:00,01/11/2022 09:30,22.62,10.76
01/11/2022 09:30,01/11/2022 10:00,19.50,9.45
01/11/2022 10:00,01/11/2022 10:30,19.79,9.57
01/11/2022 10:30,01/11/2022 11:00,19.06,9.26
01/11/2022 11:00,01/11/2022 11:30,18.02,8.83
01/11/2022 11:30,01/11/2022 12:00,18.02,8.83
01/11/2022 12:00,01/11/2022 12:30,18.02,8.83
01/11/2022 12:30,01/11/2022 13:00,18.02,8.83
01/11/2022 13:00,01/11/2022 13:30,19.15,9.30
01/11/2022 13:30,01/11/2022 14:00,19.52,9.46
01/11/2022 14:00,01/11/2022 14:30,20.01,9.67
01/11/2022 14:30,01/11/2022 15:00,21.23,10.17
01/11/2022 15:00,01/11/2022 15:30,22.16,10.56
01/11/2022 15:30,01/11/2022 16:00,23.64,11.18
01/11/2022 16:00,01/11/2022 16:30,32.94,15.33
01/11/2022 16:30,01/11/2022 17:00,35.98,20.65
01/11/2022 17:00,01/11/2022 17:30,35.98,19.65
01/11/2022 17:30,01/11/2022 18:00,35.98,20.08
01/11/2022 18:00,01/11/2022 18:30,35.98,19.73
01/11/2022 18:30,01/11/2022 19:00,35.98,17.78
01/11/2022 19:00,01/11/2022 19:30,25.20,11.84
01/11/2022 19:30,01/11/2022 20:00,19.06,9.26
01/11/2022 20:00,01/11/2022 20:30,19.52,9.46
01/11/2022 20:30,01/11/2022 21:00,18.48,9.02
01/11/2022 21:00,01/11/2022 21:30,20.19,9.74
01/11/2022 21:30,01/11/2022 22:00,16.84,8.33
01/11/2022 22:00,01/11/2022 22:30,20.33,9.80
01/11/2022 22:30,01/11/2022 23:00,16.67,8.26
01/11/2022 23:00,01/11/2022 23:30,15.17,7.63
01/11/2022 23:30,02/11/2022 00:00,13.86,7.08
02/11/2022 00:00,02/11/2022 00:30,12.80,6.63
02/11/2022 00:30,02/11/2022 01:00,13.32,6.86
02/11/2022 01:00,02/11/2022 01:30,12.68,6.59
02/11/2022 01:30,02/11/2022 02:00,10.16,5.53
02/11/2022 02:00,02/11/2022 02:30,10.51,5.67
02/11/2022 02:30,02/11/2022 03:00,9.15,5.10
02/11/2022 03:00,02/11/2022 03:30,7.41,4.37
02/11/2022 03:30,02/11/2022 04:00,7.41,4.37
02/11/2022 04:00,02/11/2022 04:30,8.59,4.87
02/11/2022 04:30,02/11/2022 05:00,10.03,5.47
02/11/2022 05:00,02/11/2022 05:30,10.62,5.72
02/11/2022 05:30,02/11/2022 06:00,15.63,7.83
02/11/2022 06:00,02/11/2022 06:30,20.79,9.99
02/11/2022 06:30,02/11/2022 07:00,28.64,13.29
02/11/2022 07:00,02/11/2022 07:30,20.12,9.71
02/11/2022 07:30,02/11/2022 08:00,26.57,12.42
02/11/2022 08:00,02/11/2022 08:30,23.10,10.96
02/11/2022 08:30,02/11/2022 09:00,21.71,10.38
02/11/2022 09:00,02/11/2022 09:30,20.79,9.99
02/11/2022 09:30,02/11/2022 10:00,16.19,8.06
02/11/2022 10:00,02/11/2022 10:30,17.00,8.40
02/11/2022 10:30,02/11/2022 11:00,15.98,7.97
02/11/2022 11:00,02/11/2022 11:30,15.94,7.95
02/11/2022 11:30,02/11/2022 12:00,14.48,7.34
02/11/2022 12:00,02/11/2022 12:30,14.69,7.43
02/11/2022 12:30,02/11/2022 13:00,14.78,7.47
02/11/2022 13:00,02/11/2022 13:30,15.98,7.97
02/11/2022 13:30,02/11/2022 14:00,15.98,7.97
02/11/2022 14:00,02/11/2022 14:30,18.48,9.02
02/11/2022 14:30,02/11/2022 15:00,18.64,9.09
02/11/2022 15:00,02/11/2022 15:30,18.64,9.09
02/11/2022 15:30,02/11/2022 16:00,20.79,9.99
02/11/2022 16:00,02/11/2022 16:30,32.43,15.12
02/11/2022 16:30,02/11/2022 17:00,35.98,20.68
02/11/2022 17:00,02/11/2022 17:30,35.98,18.09
02/11/2022 17:30,02/11/2022 18:00,35.98,18.09
02/11/2022 18:00,02/11/2022 18:30,35.98,17.78
02/11/2022 18:30,02/11/2022 19:00,35.11,16.24
02/11/2022 19:00,02/11/2022 19:30,20.79,9.99
02/11/2022 19:30,02/11/2022 20:00,20.79,9.99
02/11/2022 20:00,02/11/2022 20:30,20.79,9.99
02/11/2022 20:30,02/11/2022 21:00,19.25,9.34
02/11/2022 21:00,02/11/2022 21:30,18.64,9.09
02/11/2022 21:30,02/11/2022 22:00,18.00,8.82
02/11/2022 22:00,02/11/2022 22:30,19.40,9.41
02/11/2022 22:30,02/11/2022 23:00,14.80,7.48
02/11/2022 23:00,02/11/2022 23:30,13.86,7.08
02/11/2022 23:30,03/11/2022 00:00,6.93,4.17
03/11/2022 00:00,03/11/2022 00:30,9.93,5.43
03/11/2022 00:30,03/11/2022 01:00,13.86,7.08
03/11/2022 01:00,03/11/2022 01:30,8.09,4.66
03/11/2022 01:30,03/11/2022 02:00,9.66,5.31
03/11/2022 02:00,03/11/2022 02:30,6.26,3.89
03/11/2022 02:30,03/11/2022 03:00,9.24,5.14
03/11/2022 03:00,03/11/2022 03:30,8.41,4.79
03/11/2022 03:30,03/11/2022 04:00,11.82,6.23
03/11/2022 04:00,03/11/2022 04:30,12.71,6.60
03/11/2022 04:30,03/11/2022 05:00,14.42,7.31
03/11/2022 05:00,03/11/2022 05:30,21.02,10.09
03/11/2022 05:30,03/11/2022 06:00,19.87,9.60
03/11/2022 06:00,03/11/2022 06:30,22.80,10.83
03/11/2022 06:30,03/11/2022 07:00,21.81,10.42
03/11/2022 07:00,03/11/2022 07:30,22.48,10.70
03/11/2022 07:30,03/11/2022 08:00,26.01,12.18
03/11/2022 08:00,03/11/2022 08:30,22.27,10.61
03/11/2022 08:30,03/11/2022 09:00,24.02,11.35
03/11/2022 09:00,03/11/2022 09:30,24.39,11.50
03/11/2022 09:30,03/11/2022 10:00,25.87,12.12
03/11/2022 10:00,03/11/2022 10:30,25.41,11.93
03/11/2022 10:30,03/11/2022 11:00,26.61,12.43
03/11/2022 11:00,03/11/2022 11:30,25.60,12.01
03/11/2022 11:30,03/11/2022 12:00,25.64,12.03
03/11/2022 12:00,03/11/2022 12:30,25.39,11.92
03/11/2022 12:30,03/11/2022 13:00,25.39,11.92
03/11/2022 13:00,03/11/2022 13:30,27.72,12.90
03/11/2022 13:30,03/11/2022 14:00,25.64,12.03
03/11/2022 14:00,03/11/2022 14:30,29.24,13.54
03/11/2022 14:30,03/11/2022 15:00,26.33,12.32
03/11/2022 15:00,03/11/2022 15:30,26.24,12.28
03/11/2022 15:30,03/11/2022 16:00,30.33,14.00
03/11/2022 16:00,03/11/2022 16:30,35.98,18.25
