halfhour ending at,usage
2023-12-20 04:30:00+00:00,0.0580
2023-12-20 04:00:00+00:00,0.0700
2023-12-20 03:30:00+00:00,0.0590
2023-12-20 03:00:00+00:00,0.0670
2023-12-20 02:30:00+00:00,0.0630
2023-12-20 02:00:00+00:00,0.0630
2023-12-20 01:30:00+00:00,0.0680
2023-12-20 01:00:00+00:00,0.0630
2023-12-20 00:30:00+00:00,0.0740
2023-12-20 00:00:00+00:00,0.0630
2023-12-19 23:30:00+00:00,0.1280
2023-12-19 23:00:00+00:00,0.1840
2023-12-19 22:30:00+00:00,0.2850
2023-12-19 22:00:00+00:00,0.1720
2023-12-19 21:30:00+00:00,0.1720
2023-12-19 21:00:00+00:00,0.1750
2023-12-19 20:30:00+00:00,0.2550
2023-12-19 20:00:00+00:00,0.4130
2023-12-19 19:30:00+00:00,0.5010
2023-12-19 19:00:00+00:00,0.5810
2023-12-19 18:30:00+00:00,0.7720
2023-12-19 18:00:00+00:00,0.2360
2023-12-19 17:30:00+00:00,0.1320
2023-12-19 17:00:00+00:00,0.1480
2023-12-19 16:30:00+00:00,0.1320
2023-12-19 16:00:00+00:00,0.1350
2023-12-19 15:30:00+00:00,0.0980
2023-12-19 15:00:00+00:00,0.0840
2023-12-19 14:30:00+00:00,0.0850
2023-12-19 14:00:00+00:00,0.0520
2023-12-19 13:30:00+00:00,0.0160
2023-12-19 13:00:00+00:00,0.0090
2023-12-19 12:30:00+00:00,0.3800
2023-12-19 12:00:00+00:00,0.0790
2023-12-19 11:30:00+00:00,0.0630
2023-12-19 11:00:00+00:00,0.1320
2023-12-19 10:30:00+00:00,0.1510
2023-12-19 10:00:00+00:00,0.2290
2023-12-19 09:30:00+00:00,0.1440
2023-12-19 09:00:00+00:00,0.1460
2023-12-19 08:30:00+00:00,0.1130
2023-12-19 08:00:00+00:00,0.2590
2023-12-19 07:30:00+00:00,0.0810
2023-12-19 07:00:00+00:00,0.0800
2023-12-19 06:30:00+00:00,0.1010
2023-12-19 06:00:00+00:00,0.0750
2023-12-19 05:30:00+00:00,0.1140
2023-12-19 05:00:00+00:00,0.0730
2023-12-19 04:30:00+00:00,0.0810
2023-12-19 04:00:00+00:00,0.0780
2023-12-19 03:30:00+00:00,0.0770
2023-12-19 03:00:00+00:00,0.0770
2023-12-19 02:30:00+00:00,0.0770
